,venueId,latitude,longitude,localTimestamp
32,4b5da9e0f964a520bb6529e3,35.749,139.72,2012-04-04 02:59:52
34,4b8c5418f964a520e3ca32e3,35.682,139.8,2012-04-04 03:04:04
54,4b5bac4af964a520200f29e3,35.55,139.63,2012-04-04 03:39:12
65,4b7481e1f964a520bde02de3,35.73,139.71,2012-04-04 03:52:17
75,4b2692f9f964a520be7d24e3,35.689,139.71,2012-04-04 03:56:43
92,4b5599caf964a5209be827e3,35.67,139.82,2012-04-04 04:06:34
93,4bd6b3024e32d13a50f6c280,35.665,139.86,2012-04-04 04:06:57
105,4b9b8cd2f964a520c30e36e3,35.676,139.76,2012-04-04 04:12:01
108,4b66c862f964a520aa2a2be3,35.605,139.71,2012-04-04 04:13:27
125,4b5e34f8f964a520bb8329e3,35.696,139.75,2012-04-04 04:21:13
126,4b971b9ff964a5205ff834e3,35.685,139.77,2012-04-04 04:21:30
130,4dc5e8f5e4cd169dc659fe4d,35.792,139.65,2012-04-04 04:23:00
138,4b567b47f964a520651228e3,35.726,139.73,2012-04-04 04:25:09
155,4b669d8af964a52097252be3,35.647,139.75,2012-04-04 04:29:34
156,4b54fad0f964a52057d627e3,35.664,139.87,2012-04-04 04:29:46
166,4b467c9af964a5206c2226e3,35.682,139.8,2012-04-04 04:32:03
181,4b84c06cf964a520334331e3,35.701,139.76,2012-04-04 04:35:47
190,4b6a97d2f964a520a6d92be3,35.698,139.78,2012-04-04 04:37:25
191,4b6d4872f964a5202e6f2ce3,35.686,139.76,2012-04-04 04:37:30
192,4b54ff13f964a5201fd727e3,35.698,139.65,2012-04-04 04:37:35
217,4b78815ef964a520c9d22ee3,35.691,139.71,2012-04-04 04:44:43
224,4b24b5e7f964a5208d6924e3,35.726,139.72,2012-04-04 04:45:17
235,4b7cd447f964a520caa62fe3,35.673,139.72,2012-04-04 04:47:11
236,4b269340f964a520c27d24e3,35.678,139.71,2012-04-04 04:47:13
237,4b4487c9f964a5201ef625e3,35.677,139.74,2012-04-04 04:47:13
239,4b5cda0ef964a5205f4729e3,35.697,139.68,2012-04-04 04:47:19
240,4b669d8af964a52097252be3,35.647,139.75,2012-04-04 04:47:28
242,4b6fef86f964a5209a002de3,35.669,139.7,2012-04-04 04:49:17
251,4b18c616f964a520a7d523e3,35.672,139.79,2012-04-04 04:51:06
254,4dc5e8f5e4cd169dc659fe4d,35.792,139.65,2012-04-04 04:51:43
256,4b8cec4cf964a520fce032e3,35.672,139.8,2012-04-04 04:51:59
258,4b24b5e7f964a5208d6924e3,35.726,139.72,2012-04-04 04:53:07
261,4b751862f964a520c9fd2de3,35.659,139.7,2012-04-04 04:53:54
268,4b1ac490f964a5205af123e3,35.729,139.79,2012-04-04 04:54:46
288,4b6cf112f964a5203b5f2ce3,35.683,139.77,2012-04-04 04:59:31
291,4b53bc1af964a520aba927e3,35.696,139.78,2012-04-04 05:00:09
292,4ce4f953b43737046644f6ce,35.685,139.77,2012-04-04 05:00:18
295,4b56a082f964a5200b1728e3,35.673,139.9,2012-04-04 05:01:02
297,4b46c411f964a520ee2726e3,35.659,139.78,2012-04-04 05:02:11
301,4b6929a7f964a520ac9a2be3,35.709,139.8,2012-04-04 05:03:18
305,4b29ffe8f964a5209aa424e3,35.639,139.74,2012-04-04 05:05:50
306,4b52c581f964a520c28727e3,35.703,139.77,2012-04-04 05:06:40
307,4b0a3657f964a520782223e3,35.698,139.68,2012-04-04 05:07:02
319,4bcdb01b8920b7132912a0dc,35.689,139.82,2012-04-04 05:09:38
321,4bcdafb78920b7137711a0dc,35.689,139.82,2012-04-04 05:09:48
323,4b380ad7f964a520bc4a25e3,35.665,139.71,2012-04-04 05:09:53
330,4b52b325f964a520448627e3,35.666,139.89,2012-04-04 05:11:55
345,4b7ba460f964a520a4692fe3,35.655,139.74,2012-04-04 05:15:08
346,4b600284f964a5202fd329e3,35.568,139.55,2012-04-04 05:15:32
349,4b56a082f964a5200b1728e3,35.673,139.9,2012-04-04 05:15:54
356,4b88d779f964a520fa0f32e3,35.694,139.77,2012-04-04 05:16:56
359,4b8f6933f964a520c85333e3,35.646,139.83,2012-04-04 05:17:36
362,4b2c4c0bf964a52075c524e3,35.654,139.75,2012-04-04 05:18:12
363,4b52b325f964a520448627e3,35.666,139.89,2012-04-04 05:18:17
389,4b54fad0f964a52057d627e3,35.664,139.87,2012-04-04 05:21:43
391,4b948fd8f964a5207c7d34e3,35.667,139.76,2012-04-04 05:22:52
400,4b7278aef964a520de7b2de3,35.687,139.77,2012-04-04 05:25:05
408,4b5f855af964a5204abf29e3,35.686,139.88,2012-04-04 05:26:25
425,4b22ebb2f964a5205c5024e3,35.672,139.74,2012-04-04 05:28:36
427,4b592a01f964a520be7f28e3,35.663,139.73,2012-04-04 05:29:05
432,4bbef995ba9776b09765fec8,35.563,139.57,2012-04-04 05:29:30
443,4b55b740f964a520efec27e3,35.545,139.57,2012-04-04 05:30:46
445,4b17d383f964a52091c823e3,35.69,139.84,2012-04-04 05:30:54
449,4b7e455ef964a520e0e72fe3,35.686,139.78,2012-04-04 05:31:53
458,4b53f0dbf964a52021af27e3,35.677,139.75,2012-04-04 05:32:37
459,4b413218f964a52005c325e3,35.721,139.75,2012-04-04 05:32:39
462,4b269275f964a520b87d24e3,35.669,139.69,2012-04-04 05:33:20
480,4b063a75f964a520e0e922e3,35.673,139.72,2012-04-04 05:37:43
484,4bc5a7655935c9b64624a6d2,35.673,139.72,2012-04-04 05:38:03
486,4b403756f964a520eab625e3,35.691,139.7,2012-04-04 05:38:13
489,4b39affff964a520805e25e3,35.553,139.58,2012-04-04 05:38:33
493,4b44246df964a520f3f125e3,35.688,139.79,2012-04-04 05:39:18
494,4b7b65f0f964a520e2612fe3,35.661,139.75,2012-04-04 05:39:32
498,4b73502df964a52001a82de3,35.704,139.76,2012-04-04 05:40:20
500,4b54fad0f964a52057d627e3,35.664,139.87,2012-04-04 05:40:36
505,4b585654f964a520605328e3,35.707,139.78,2012-04-04 05:41:30
517,4ba94ec3f964a5206b1d3ae3,35.71,139.81,2012-04-04 05:43:04
532,4b598750f964a520448b28e3,35.724,139.75,2012-04-04 05:45:24
536,4b80a413f964a520e88230e3,35.68,139.78,2012-04-04 05:45:40
538,4bbef995ba9776b09765fec8,35.563,139.57,2012-04-04 05:46:16
539,4bbef995ba9776b09765fec8,35.563,139.57,2012-04-04 05:46:24
552,4b22e781f964a520075024e3,35.719,139.73,2012-04-04 05:47:44
555,4b340afff964a5204b2425e3,35.682,139.79,2012-04-04 05:47:53
560,4b0dfb40f964a5207c5323e3,35.674,139.75,2012-04-04 05:48:32
566,4b53bc1af964a520aba927e3,35.696,139.78,2012-04-04 05:49:32
578,4b46d0ebf964a520982826e3,35.696,139.75,2012-04-04 05:51:44
580,4b2df016f964a5201adc24e3,35.67,139.76,2012-04-04 05:51:56
599,4b558306f964a5201be627e3,35.702,139.74,2012-04-04 05:55:05
603,4b601301f964a520f9d429e3,35.689,139.7,2012-04-04 05:56:49
607,4b340afff964a5204b2425e3,35.682,139.79,2012-04-04 05:58:14
608,4b4122c2f964a520d6c125e3,35.678,139.74,2012-04-04 05:58:34
619,4b8e4616f964a520ad1d33e3,35.665,139.71,2012-04-04 06:01:04
642,4b480de4f964a520274726e3,35.669,139.81,2012-04-04 06:06:43
643,4b585654f964a520605328e3,35.707,139.78,2012-04-04 06:06:56
645,4b7278aef964a520de7b2de3,35.687,139.77,2012-04-04 06:07:44
648,4b269275f964a520b87d24e3,35.669,139.69,2012-04-04 06:09:14
659,4b58df1ff964a520137028e3,35.704,139.73,2012-04-04 06:11:07
663,4b823278f964a520f0cc30e3,35.695,139.76,2012-04-04 06:12:06
665,4b5f8ae4f964a52080c029e3,35.686,139.73,2012-04-04 06:12:49
669,4b45c7a5f964a5203e1026e3,35.655,139.8,2012-04-04 06:13:36
671,4b58dcdef964a5206f6f28e3,35.535,139.59,2012-04-04 06:15:02
681,4bf0ba3d3a15d13a2dea3e9f,35.688,139.8,2012-04-04 06:16:54
684,4b72772ef964a520ac7b2de3,35.679,139.74,2012-04-04 06:18:14
703,4b6929a7f964a520ac9a2be3,35.709,139.8,2012-04-04 06:24:03
719,4b6053cff964a520d8df29e3,35.692,139.7,2012-04-04 06:27:21
731,4b62b939f964a52057502ae3,35.663,139.73,2012-04-04 06:32:14
738,4b54ff13f964a5201fd727e3,35.698,139.65,2012-04-04 06:35:42
749,4b4487c9f964a5201ef625e3,35.677,139.74,2012-04-04 06:38:11
752,4b5c4864f964a520932929e3,35.681,139.78,2012-04-04 06:39:31
754,4b504899f964a520bb1f27e3,35.691,139.67,2012-04-04 06:39:57
755,4b62b939f964a52057502ae3,35.663,139.73,2012-04-04 06:40:08
757,4b7e9bbbf964a5202df52fe3,35.674,139.76,2012-04-04 06:40:20
765,4b22ebb2f964a5205c5024e3,35.672,139.74,2012-04-04 06:42:45
766,4b1b7b31f964a5209efb23e3,35.687,139.76,2012-04-04 06:43:01
786,4b570dbff964a5208e2428e3,35.692,139.72,2012-04-04 06:48:43
797,4b75ca0ff964a520d1242ee3,35.691,139.7,2012-04-04 06:53:45
814,4b6a97d2f964a520a6d92be3,35.698,139.78,2012-04-04 07:00:50
815,4b942a80f964a520426c34e3,35.744,139.68,2012-04-04 07:02:06
820,4b3883cff964a520624e25e3,35.652,139.72,2012-04-04 07:05:23
821,4b0df959f964a520635323e3,35.663,139.73,2012-04-04 07:05:43
824,4b67ab11f964a5202d5a2be3,35.686,139.78,2012-04-04 07:06:24
855,4b7481e1f964a520bde02de3,35.73,139.71,2012-04-04 07:27:30
857,4b8c5bd5f964a52099cc32e3,35.706,139.79,2012-04-04 07:29:41
875,4b752193f964a520c8fe2de3,35.75,139.8,2012-04-04 07:37:54
879,4b70eccff964a5207e342de3,35.687,139.77,2012-04-04 07:43:22
880,4b603896f964a5209ada29e3,35.659,139.7,2012-04-04 07:44:03
882,4b7278aef964a520de7b2de3,35.687,139.77,2012-04-04 07:45:08
893,4b340afff964a5204b2425e3,35.682,139.79,2012-04-04 07:51:20
902,4b30b5b8f964a52015fb24e3,35.672,139.74,2012-04-04 07:55:01
906,4b663f1bf964a520891a2be3,35.711,139.78,2012-04-04 07:58:24
908,4b83e1e4f964a520101531e3,35.647,139.71,2012-04-04 07:58:52
928,4b269340f964a520c27d24e3,35.678,139.71,2012-04-04 08:05:51
939,4b0df959f964a520635323e3,35.663,139.73,2012-04-04 08:11:52
947,4b7aae11f964a520f1362fe3,35.737,139.65,2012-04-04 08:20:48
951,4b1b7b31f964a5209efb23e3,35.687,139.76,2012-04-04 08:22:12
955,4b585654f964a520605328e3,35.707,139.78,2012-04-04 08:23:34
965,4b2c4c0bf964a52075c524e3,35.654,139.75,2012-04-04 08:29:30
969,4b62b939f964a52057502ae3,35.663,139.73,2012-04-04 08:31:03
976,4b56c4c5f964a520c41a28e3,35.71,139.79,2012-04-04 08:31:46
987,4b24b5e7f964a5208d6924e3,35.726,139.72,2012-04-04 08:37:15
988,4b52ff05f964a5202b8c27e3,35.68,139.78,2012-04-04 08:37:50
990,4b52b325f964a520448627e3,35.666,139.89,2012-04-04 08:38:12
1003,4b823278f964a520f0cc30e3,35.695,139.76,2012-04-04 08:42:36
1004,4b6e4768f964a520e2b52ce3,35.693,139.7,2012-04-04 08:43:20
1006,4b777fa7f964a520309e2ee3,35.75,139.81,2012-04-04 08:43:31
1013,4b18c8bbf964a520bad523e3,35.669,139.83,2012-04-04 08:45:29
1016,4b603896f964a5209ada29e3,35.659,139.7,2012-04-04 08:45:57
1017,4b403a4ef964a52005b725e3,35.674,139.75,2012-04-04 08:46:13
1038,4b52ff05f964a5202b8c27e3,35.68,139.78,2012-04-04 08:53:36
1044,4b52ff05f964a5202b8c27e3,35.68,139.78,2012-04-04 08:55:58
1070,4b4487c9f964a5201ef625e3,35.677,139.74,2012-04-04 09:03:10
1096,4b6a61e4f964a52005d42be3,35.695,139.75,2012-04-04 09:08:59
1102,4b3883cff964a520624e25e3,35.652,139.72,2012-04-04 09:10:40
1104,4b46d0ebf964a520982826e3,35.696,139.75,2012-04-04 09:11:07
1111,4b403756f964a520eab625e3,35.691,139.7,2012-04-04 09:12:32
1142,4bd6c30d637ba593179af870,35.788,139.61,2012-04-04 09:19:51
1147,4b751862f964a520c9fd2de3,35.659,139.7,2012-04-04 09:21:52
1171,4eaea460f9f4f7f1a0e498ee,35.648,139.75,2012-04-04 09:25:41
1190,4b063a75f964a520e0e922e3,35.673,139.72,2012-04-04 09:28:58
1195,4bc5735a6a3e9c74b0e9f548,35.673,139.72,2012-04-04 09:29:52
1198,4bd6c30d637ba593179af870,35.788,139.61,2012-04-04 09:30:42
1217,4b7cd447f964a520caa62fe3,35.673,139.72,2012-04-04 09:33:35
1222,4b78a332f964a52065db2ee3,35.679,139.74,2012-04-04 09:34:52
1230,4b305a74f964a5201ef924e3,35.67,139.77,2012-04-04 09:35:55
1269,4b063a75f964a520e0e922e3,35.673,139.72,2012-04-04 09:43:05
1280,4b4189eff964a52067c725e3,35.692,139.78,2012-04-04 09:44:55
1296,4b6d4872f964a5202e6f2ce3,35.686,139.76,2012-04-04 09:47:49
1305,4b727694f964a520917b2de3,35.677,139.74,2012-04-04 09:50:18
1330,4b46c411f964a520ee2726e3,35.659,139.78,2012-04-04 09:55:14
1365,4b380ad7f964a520bc4a25e3,35.665,139.71,2012-04-04 10:02:11
1382,4b62b939f964a52057502ae3,35.663,139.73,2012-04-04 10:05:54
1385,4b29ffe8f964a5209aa424e3,35.639,139.74,2012-04-04 10:06:55
1440,4b37f4d2f964a520334925e3,35.677,139.77,2012-04-04 10:17:31
1445,4b4dc6bff964a5207ad726e3,35.682,139.77,2012-04-04 10:18:57
1447,4b305a74f964a5201ef924e3,35.67,139.77,2012-04-04 10:18:58
1449,4b53bc1af964a520aba927e3,35.696,139.78,2012-04-04 10:19:13
1477,4b52c581f964a520c28727e3,35.703,139.77,2012-04-04 10:25:57
1510,4b8f41b1f964a520694f33e3,35.671,139.77,2012-04-04 10:34:48
1602,4b601301f964a520f9d429e3,35.689,139.7,2012-04-04 10:54:34
1622,4b6d4872f964a5202e6f2ce3,35.686,139.76,2012-04-04 11:00:06
1630,4b4dc973f964a520aed726e3,35.711,139.69,2012-04-04 11:04:50
1650,4b5c4864f964a520932929e3,35.681,139.78,2012-04-04 11:12:35
1776,4ba95af1f964a5209c213ae3,35.644,139.7,2012-04-04 11:55:27
1793,4b72772ef964a520ac7b2de3,35.679,139.74,2012-04-04 11:59:29
1809,4b7291f5f964a520d87e2de3,35.656,139.75,2012-04-04 12:08:00
1816,4b29ffe8f964a5209aa424e3,35.639,139.74,2012-04-04 12:09:41
1834,4b58df1ff964a520137028e3,35.704,139.73,2012-04-04 12:15:15
1866,4b9a188ef964a520a09e35e3,35.684,139.73,2012-04-04 12:28:41
1868,4b7b65f0f964a520e2612fe3,35.661,139.75,2012-04-04 12:29:39
1875,4b6a97d2f964a520a6d92be3,35.698,139.78,2012-04-04 12:32:45
1880,4b7e455ef964a520e0e72fe3,35.686,139.78,2012-04-04 12:33:29
1882,4b5ef312f964a520459f29e3,35.663,139.76,2012-04-04 12:34:27
1899,4ce4f953b43737046644f6ce,35.685,139.77,2012-04-04 12:38:35
1902,4b6d51bcf964a520e0702ce3,35.685,139.77,2012-04-04 12:39:07
1909,4b52ff05f964a5202b8c27e3,35.68,139.78,2012-04-04 12:43:43
1918,4b53ba34f964a5206aa927e3,35.684,139.74,2012-04-04 12:45:37
1953,4b60149cf964a5203ad529e3,35.691,139.69,2012-04-04 12:57:26
1974,4b6053cff964a520d8df29e3,35.692,139.7,2012-04-04 13:03:40
1977,4b564870f964a5202d0928e3,35.789,139.66,2012-04-04 13:04:01
1983,4b73502df964a52001a82de3,35.704,139.76,2012-04-04 13:05:50
1987,4b73502df964a52001a82de3,35.704,139.76,2012-04-04 13:07:30
1992,4b2dc086f964a52012db24e3,35.672,139.76,2012-04-04 13:09:26
1998,4b380ad7f964a520bc4a25e3,35.665,139.71,2012-04-04 13:11:04
2012,4b1b7fb0f964a520b4fb23e3,35.777,139.69,2012-04-04 13:13:26
2031,4b413218f964a52005c325e3,35.721,139.75,2012-04-04 13:20:48
2044,4b47b936f964a520f53b26e3,35.671,139.72,2012-04-04 13:24:49
2063,4b5febdaf964a520bbd029e3,35.642,139.73,2012-04-04 13:29:58
2072,4b6f5338f964a5206aeb2ce3,35.643,139.73,2012-04-04 13:31:09
2093,4b73502df964a52001a82de3,35.704,139.76,2012-04-04 13:34:25
2110,4c4008dacc410f471418a961,35.639,139.74,2012-04-04 13:39:34
2114,4b413218f964a52005c325e3,35.721,139.75,2012-04-04 13:40:38
2136,4b8b03dff964a520738e32e3,35.679,139.74,2012-04-04 13:46:05
2142,4ba94ec3f964a5206b1d3ae3,35.71,139.81,2012-04-04 13:47:42
2147,4b56b1f3f964a520d01828e3,35.689,139.83,2012-04-04 13:48:51
2148,4b22ebb2f964a5205c5024e3,35.672,139.74,2012-04-04 13:49:05
2163,4b0a405ff964a520c22223e3,35.667,139.73,2012-04-04 13:52:08
2174,4bbef995ba9776b09765fec8,35.563,139.57,2012-04-04 13:54:48
2178,4b78815ef964a520c9d22ee3,35.691,139.71,2012-04-04 13:55:54
2182,4b8f6933f964a520c85333e3,35.646,139.83,2012-04-04 13:56:37
2212,4b1b7b31f964a5209efb23e3,35.687,139.76,2012-04-04 14:03:48
2240,4b8098e5f964a520e37f30e3,35.691,139.74,2012-04-04 14:11:08
2270,4b698ab2f964a520aba62be3,35.689,139.7,2012-04-04 14:16:56
2280,4bbef995ba9776b09765fec8,35.563,139.57,2012-04-04 14:20:57
2289,4b792f4bf964a52034ee2ee3,35.665,139.71,2012-04-04 14:22:23
2301,4bd6b3024e32d13a50f6c280,35.665,139.86,2012-04-04 14:25:45
2316,4b600284f964a5202fd329e3,35.568,139.55,2012-04-04 14:28:43
2329,4b18c616f964a520a7d523e3,35.672,139.79,2012-04-04 15:06:47
2333,4b6929a7f964a520ac9a2be3,35.709,139.8,2012-04-04 15:07:06
2339,4b0a3657f964a520782223e3,35.698,139.68,2012-04-04 15:07:57
2358,4bbef995ba9776b09765fec8,35.563,139.57,2012-04-04 15:10:22
2390,4b504899f964a520bb1f27e3,35.691,139.67,2012-04-04 15:14:32
2404,4b063a75f964a520e0e922e3,35.673,139.72,2012-04-04 15:16:23
2406,4b3159b4f964a520400525e3,35.663,139.75,2012-04-04 15:16:28
2412,4b063a75f964a520e0e922e3,35.673,139.72,2012-04-04 15:16:51
2416,4b39affff964a520805e25e3,35.553,139.58,2012-04-04 15:17:10
